,Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
181,3428,3428,6063730184.jpg#3r1e,entailment,A young boy and his dog play at the edge of a public beach.,the kid plays with his dog at the beach,A young boy and kid are synonymous as part the description at the beach (public beach)., A *young* *boy* and his dog play at the edge of a public *beach.*, the *kid* plays with his dog at the *beach*,"Young boy is a kid, and public beach is a type of beach.", A *young* *boy* and his dog play at the edge of a *public* *beach.*, the *kid* plays with his dog at the *beach*,The boy is a kid., A young *boy* and his dog play at the edge of a public beach., the *kid* plays with his dog at the beach,"['young', 'boy', 'beach.']","['kid', 'beach']","['young', 'boy', 'public', 'beach.']","['kid', 'beach']",['boy'],['kid'],classification,2
185,3478,3478,3562169000.jpg#0r1e,entailment,A blue race car slides off the racetrack and hits white median bumpers with its rear.,The automobile lost control and hit something.,If a race car slides off the racetrack then it probably means the automoblie has lost control., A blue *race* *car* *slides* *off* *the* *racetrack* and hits white median bumpers with its rear., The automobile *lost* *control* and hit something.,Car is an automobile and something refers to bumpers, A blue race *car* slides off the racetrack and hits white *median* *bumpers* with its rear., The *automobile* lost control and hit *something.*,"Blue race car is a type of automobile, and slides off the racetrack implies lost control.", A *blue* *race* *car* *slides* *off* *the* *racetrack* and hits white median bumpers with its rear., The *automobile* *lost* *control* and hit something.,"['race', 'car', 'slides', 'off', 'the', 'racetrack']","['lost', 'control']","['car', 'median', 'bumpers']","['automobile', 'something.']","['blue', 'race', 'car', 'slides', 'off', 'the', 'racetrack']","['automobile', 'lost', 'control']",classification,3
210,4056,4056,147236031.jpg#1r1e,entailment,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,Trimming is a form of cutting.  An asparagus is a type of vegetable., An Asian woman is looking at the camera while *trimming* *asparagus.*, Woman *cuts* *vegetables.*,"Asian woman is a woman, and trimming asparagus is a type of cuts vegetables.", An *Asian* *woman* is looking at the camera while *trimming* *asparagus.*, *Woman* *cuts* *vegetables.*,trimming asparagus refer to cuts asparagus, An Asian woman is looking at the camera while *trimming* *asparagus.*, Woman *cuts* *vegetables.*,"['trimming', 'asparagus.']","['cuts', 'vegetables.']","['Asian', 'woman', 'trimming', 'asparagus.']","['Woman', 'cuts', 'vegetables.']","['trimming', 'asparagus.']","['cuts', 'vegetables.']",classification,"1,2"
234,4520,4520,2341080150.jpg#0r2e,entailment,Beautiful red car among many at a car show full of excited car enthusiasts held on a tree lined street.,The cars and people are outdoors.,A tree lined street has to be located outdoors., Beautiful red car among many at a car show full of excited car enthusiasts held on a *tree* *lined* *street.*, The cars and people are *outdoors.*,A car show has full of cars.   Car enthusiasts are people found in a car show.  A tree-lined street is found outdoors., Beautiful red car among many at a *car* *show* full of excited *car* *enthusiasts* held on a *tree* *lined* *street.*, The *cars* and *people* are *outdoors.*,"Car enthusiasts are people, and beautiful red car among many are a type of cars.", *Beautiful* *red* *car* *among* *many* at a car show full of excited *car* *enthusiasts* held on a tree lined street., The *cars* and *people* are outdoors.,"['tree', 'lined', 'street.']",['outdoors.'],"['car', 'show', 'car', 'enthusiasts', 'tree', 'lined', 'street.']","['cars', 'people', 'outdoors.']","['Beautiful', 'red', 'car', 'among', 'many', 'car', 'enthusiasts']","['cars', 'people']",classification,3
254,4834,4834,418207489.jpg#3r1n,entailment,A man and a woman are shopping at a large hardware warehouse store.,A man and woman are in a hardware store.,Hardware warehouse store is a form of hardware store., A man and a woman are shopping at a large *hardware* *warehouse* *store.*, A man and woman are in a *hardware* *store.*,"If you are in a store, then you must be shopping, also, a warehouse in no different from a store.", A man and a woman are *shopping* at a large hardware *warehouse* store., A man and woman are in a hardware *store.*,Peoples are shopping at a hardware warehouse store., A man and a woman are *shopping* at a large hardware *warehouse* store., A man and woman are in a *hardware* *store.*,"['hardware', 'warehouse', 'store.']","['hardware', 'store.']","['shopping', 'warehouse']",['store.'],"['shopping', 'warehouse']","['hardware', 'store.']",classification,1
281,5303,5303,3411579899.jpg#1r1e,entailment,Mountain biking in a forest during the early fall.,Bicycling through the woods in the Autumn.,Mountain biking is a type of bicycling., *Mountain* *biking* in a forest during the early fall., *Bicycling* through the woods in the Autumn.,"Mountain biking is a type of bicycling, and forest is woods.", *Mountain* *biking* in a *forest* during the early fall., *Bicycling* through the *woods* in the Autumn.,Mountain biking uses bikes and can thus be generically called bicycling. The woods is another word for forest. Autumn is another word for the season of fall., *Mountain* *biking* in a *forest* during the early *fall.*, *Bicycling* through the *woods* in the *Autumn.*,"['Mountain', 'biking']",['Bicycling'],"['Mountain', 'biking', 'forest']","['Bicycling', 'woods']","['Mountain', 'biking', 'forest', 'fall.']","['Bicycling', 'woods', 'Autumn.']",classification,"1,2"
282,5317,5317,2925162156.jpg#1r1e,entailment,A man and a woman are competing in a road rice.,A  man and women competing,Competing in a road rice is a form of competing., A man and a woman are *competing* *in* *a* *road* *rice.*, A  man and women *competing*,'A man and women competing' is a rephrasing of 'A man and a woman are competing'., *A* *man* *and* *a* *woman* *are* *competing* in a road rice., *A*  *man* *and* *women* *competing*,"A man and woman can be competing in anything, including a road race.", A man and a woman are *competing* in a road rice., A  man and women *competing*,"['competing', 'in', 'a', 'road', 'rice.']",['competing'],"['A', 'man', 'and', 'a', 'woman', 'are', 'competing']","['A', 'man', 'and', 'women', 'competing']",['competing'],['competing'],classification,1
287,5399,5399,4656148446.jpg#0r1e,entailment,"A young man wearing a blue shirt with white words, black jeans, and inline skates is sitting on a concrete seat looking forward while a group are people are in the background.",A young man in inline skates sits on a concrete seat.,A young man is a young man and They both reference a young man in an inline skate that sits on a concrete seat.," A *young* *man* wearing a blue shirt with white words, black jeans, and *inline* *skates* is sitting on a *concrete* *seat* looking forward while a group are people are in the background.", A *young* *man* in *inline* *skates* sits on a *concrete* *seat.*,Answer: Sits on a concrete seat is same as sitting on a concrete seat.," A young man wearing a blue shirt with white words, black jeans, and inline skates *is* *sitting* *on* *a* *concrete* *seat* looking forward while a group are people are in the background.", A young man in inline skates *sits* *on* *a* *concrete* *seat.*,Young man wearing a blue shirt is a type of young man.," A *young* *man* *wearing* *a* *blue* *shirt* with white words, black jeans, and inline skates is sitting on a concrete seat looking forward while a group are people are in the background.", A *young* *man* in inline skates sits on a concrete seat.,"['young', 'man', 'inline', 'skates', 'concrete', 'seat']","['young', 'man', 'inline', 'skates', 'concrete', 'seat.']","['is', 'sitting', 'on', 'a', 'concrete', 'seat']","['sits', 'on', 'a', 'concrete', 'seat.']","['young', 'man', 'wearing', 'a', 'blue', 'shirt']","['young', 'man']",classification,3
292,5508,5508,4715846690.jpg#1r1e,entailment,A little girl wearing a tan sundress with a bow in the back holds a bouquet of flowers on the sidewalk.,A girl wearing a dress holds flowers on the sidewalk,A girl in a sundress is holding a bouquet of flowers., A *little* *girl* wearing a tan *sundress* with a bow in the back holds *a* *bouquet* *of* *flowers* on the sidewalk., A girl wearing a dress *holds* flowers on the sidewalk,A girl in a dress holds flowers., A little girl wearing a tan sundress with a bow in the back *holds* a bouquet of *flowers* on the sidewalk., A girl wearing a dress *holds* *flowers* on the sidewalk,"A little girl is a form of a girl, a tan sundress is a dress, and a bouquet of flowers are flowers.", *A* *little* *girl* wearing a *tan* *sundress* with a bow in the back holds a *bouquet* *of* *flowers* on the sidewalk., *A* *girl* wearing a *dress* holds *flowers* on the sidewalk,"['little', 'girl', 'sundress', 'a', 'bouquet', 'of', 'flowers']",['holds'],"['holds', 'flowers']","['holds', 'flowers']","['A', 'little', 'girl', 'tan', 'sundress', 'bouquet', 'of', 'flowers']","['A', 'girl', 'dress', 'flowers']",classification,3
300,5618,5618,4752074992.jpg#1r1e,entailment,"A young women carrying some wooden cases, walking down the street and passing a street performer.",A person carrying cases,"Young women is a person, and wooden cases are a type of cases."," A *young* *women* carrying some *wooden* *cases,* walking down the street and passing a street performer.", A *person* carrying *cases*,A young woman can be walking while carrying something," A young women carrying some wooden cases, *walking* down the street and passing a street performer.", A person *carrying* cases,A woman is carrying cases and a woman is a person therefore a person is carrying cases.," A young *women* *carrying* some wooden *cases,* walking down the street and passing a street performer.", A *person* *carrying* *cases*,"['young', 'women', 'wooden', 'cases']","['person', 'cases']",['walking'],['carrying'],"['women', 'carrying', 'cases']","['person', 'carrying', 'cases']",classification,1
314,5724,5724,2325025735.jpg#3r1e,entailment,A little girl looking at a large boulder,A girl sees a rock formation.,Seeing is a form of looking.  A large boulder is a type of rock formation., A little girl *looking* at a *large* *boulder*, A girl *sees* a *rock* *formation.*,A large boulder is a rock formation., A little girl looking at a *large* *boulder*, A girl sees a *rock* *formation.*,A girl sees a rock formation in the boulder., A little girl looking at a large *boulder*, A girl sees a *rock* *formation.*,"['looking', 'large', 'boulder']","['sees', 'rock', 'formation.']","['large', 'boulder']","['rock', 'formation.']",['boulder'],"['rock', 'formation.']",classification,1
333,5963,5963,3244632670.jpg#1r1n,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef speaks,"""A chef speaks"" is a shortened form of ""A chef speaks into a microphone...""", A *chef* *speaks* into a microphone about a mixed salad contained in a bowl with a decorative lid., A *chef* *speaks*,"Regardless of the content, the chef is speaking.", A *chef* speaks into a microphone about a mixed salad contained in a bowl with a decorative lid., A chef *speaks*,The chef is speaks into a microphone about a mixed bowled salad in a decorative lid, A *chef* *speaks* into a *microphone* about a *mixed* *salad* contained in a *bowl* with a *decorative* *lid.*, A *chef* *speaks*,"['chef', 'speaks']","['chef', 'speaks']",['chef'],['speaks'],"['chef', 'speaks', 'microphone', 'mixed', 'salad', 'bowl', 'decorative', 'lid.']","['chef', 'speaks']",classification,1
335,5977,5977,2623930900.jpg#0r1e,entailment,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is cheerful.,He laughs because he is cheerful., A man who has a gray beard and gray hair *laughs* while wearing a purple shirt., A man is *cheerful.*,"A man who laughs, looks very cheerful for everyone.", A man who has a gray beard and gray hair *laughs* while wearing a purple shirt., A man is *cheerful.*,"Man who has a gray beard is a type of man, and laughs implies cheerful.", A *man* *who* *has* *a* *gray* *beard* and gray hair *laughs* while wearing a purple shirt., A *man* is *cheerful.*,['laughs'],['cheerful.'],['laughs'],['cheerful.'],"['man', 'who', 'has', 'a', 'gray', 'beard', 'laughs']","['man', 'cheerful.']",classification,3
346,6085,6085,4393476043.jpg#0r1e,entailment,"Man in gray zippered jacket and red shirt pets a brown dog and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog.",A man in a jacket holds a small child while petting his dog near a woman holding a small boy and her dog.,Answer: Young refers to small and infant refers to small," Man in gray zippered jacket and red shirt pets a brown dog and holds a *young* girl in pink shirt, while a woman next to him holds an *infant* boy and a gray dog.", A man in a jacket holds a *small* child while petting his dog near a woman holding a *small* boy and her dog.,"Gray zippered jacket is a type of jacket, and young girl is a small child."," Man in *gray* *zippered* *jacket* and red shirt pets a brown dog and holds a *young* *girl* in pink shirt, while a woman next to him holds an infant boy and a gray dog.", A man in a *jacket* holds a *small* *child* while petting his dog near a woman holding a small boy and her dog.,"A man in a gray jacket holding a child, petting a dog with a woman and a small boy and their dog near them"," Man in *gray* zippered *jacket* and red shirt pets a brown *dog* and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog.", A man in a *jacket* holds a small *child* while *petting* his *dog* near a *woman* holding a *small* *boy* and her *dog.*,"['young', 'infant']","['small', 'small']","['gray', 'zippered', 'jacket', 'young', 'girl']","['jacket', 'small', 'child']","['gray', 'jacket', 'dog']","['jacket', 'child', 'petting', 'dog', 'woman', 'small', 'boy', 'dog.']",classification,2
348,6117,6117,306839655.jpg#2r1n,entailment,A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of people plays a fun game on the floor of a living room.,"The game must be fun if people are engaged with it, rather than the TV playing in the background.", A group of people plays a game on the floor of a living room while a TV plays in the *background.*, A group of people plays a *fun* game on the floor of a living room.,"A fun game is still a game. The living room is still the living room, whether  the TV plays in the background or not.", A group of people plays a *game* on the floor of a *living* *room* while a *TV* *plays* *in* *the* *background.*, A group of people plays a *fun* *game* on the floor of a *living* *room.*,Fun game is a type of game., A group of people plays a *game* on the floor of a living room while a TV plays in the background., A group of people plays a *fun* *game* on the floor of a living room.,['background.'],['fun'],"['game', 'living', 'room', 'TV', 'plays', 'in', 'the', 'background.']","['fun', 'game', 'living', 'room.']",['game'],"['fun', 'game']",classification,3
359,6359,6359,4851047049.jpg#3r1e,entailment,A man playing a guitar while a woman in a checks the oven.,A man plays an instrument.,A guitar is an instrument., A man playing a *guitar* while a woman in a checks the oven., A man plays an *instrument.*,A guitar is a type of instrument., A man playing a *guitar* while a woman in a checks the oven., A man plays an *instrument.*,A guitar is a type of instrument and man playing a guitar is a more specific way of saying a man plays an instrument., A *man* *playing* a *guitar* while a woman in a checks the oven., A *man* *plays* an *instrument.*,['guitar'],['instrument.'],['guitar'],['instrument.'],"['man', 'playing', 'guitar']","['man', 'plays', 'instrument.']",classification,"2,3"
365,6515,6515,5806030158.jpg#3r1e,entailment,Children are playing a game outside.,Children are playing a game,Playing a game outside is a form of playing., Children are *playing* *a* *game* *outside.*, Children are *playing* a game,The children play a game outside is the same as a game., *Children* are playing a *game* *outside.*, *Children* are playing a *game*,"If they are playing a game outside, they are playing a game.", Children are *playing* a *game* *outside.*, Children are *playing* a *game*,"['playing', 'a', 'game', 'outside.']",['playing'],"['Children', 'game', 'outside.']","['Children', 'game']","['playing', 'game', 'outside.']","['playing', 'game']",classification,1
375,6715,6715,4470113445.jpg#0r1e,entailment,A man on stage wearing a red shirt is zipping up his pants.,A man on stage wearing a shirt is zipping up his pants.,A man zipping his pants on stage, A man on stage wearing a red shirt is *zipping* up his pants., A man on stage wearing a shirt is zipping up his *pants.*,There is a man with a red shirt., A man on stage wearing a *red* *shirt* is zipping up his pants., A man on stage wearing a *shirt* is zipping up his pants.,Red shirt is a type of shirt., A man on stage wearing a *red* *shirt* is zipping up his pants., A man on stage wearing a *shirt* is zipping up his pants.,['zipping'],['pants.'],"['red', 'shirt']",['shirt'],"['red', 'shirt']",['shirt'],classification,3
390,6893,6893,4486280757.jpg#0r1e,entailment,A man in a black wetsuit with white shorts is windsurfing on a blue body of water with mountains in the background.,The man is near the water.,If a man is on a body of water then he is near the water., A man in a black wetsuit with white shorts is windsurfing *on* *a* blue *body* *of* *water* with mountains in the background., The man is *near* *the* *water.*,"A man in a black wetsuit is a type of man, and on a blue body of water implies near the water.", *A* *man* *in* *a* *black* *wetsuit* with white shorts is windsurfing *on* *a* *blue* *body* *of* *water* with mountains in the background., The *man* is *near* *the* *water.*,Windsurfing would require you to be near water., A man in a black wetsuit with white shorts is *windsurfing* on a blue body of water with mountains in the background., The man is *near* the *water.*,"['on', 'a', 'body', 'of', 'water']","['near', 'the', 'water.']","['A', 'man', 'in', 'a', 'black', 'wetsuit', 'on', 'a', 'blue', 'body', 'of', 'water']","['man', 'near', 'the', 'water.']",['windsurfing'],"['near', 'water.']",classification,2
409,7284,7284,3182517887.jpg#1r1e,entailment,A man with a tattoo is wearing sunglasses while holding a small boy.,There is a man with body art who is holding a young person.,Tattoo is body art., A man with a *tattoo* is wearing sunglasses while holding a small boy., There is a man with *body* *art* who is holding a young person.,"The has a tattoo which is a type of body art, and he is holding a small boy who is also a young person.", A *man* *with* *a* *tattoo* is wearing sunglasses while *holding* *a* *small* *boy.*, There is a *man* *with* *body* *art* who is *holding* *a* *young* *person.*,"Tattoo is a form of body art, and small boy is a young person", A man with a *tattoo* is wearing sunglasses while holding a *small* *boy.*, There is a man with *body* *art* who is holding a *young* *person.*,['tattoo'],"['body', 'art']","['man', 'with', 'a', 'tattoo', 'holding', 'a', 'small', 'boy.']","['man', 'with', 'body', 'art', 'holding', 'a', 'young', 'person.']","['tattoo', 'small', 'boy.']","['body', 'art', 'young', 'person.']",classification,"2,3"
