Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
131,131,4801146545.jpg#2r1e,entailment,A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,People wearing only white and red are a type of people., A large number of *people* *wearing* *only* *white* *and* *red* are walking on a street., A large number of *people* walking on a street.,people wearing white and red on the street are usually monumental ceremonies, A large number of *people* wearing only *white* and *red* are walking on a street., A large number of people walking on a street.,People walking on a street happen to be wearing only white and red., A large number of *people* wearing only white and red are *walking* on a *street.*, A large number of *people* *walking* on a *street.*,"['people', 'wearing', 'only', 'white', 'and', 'red']",['people'],"['people', 'white', 'red']",[],"['people', 'walking', 'street.']","['people', 'walking', 'street.']",classification,1
142,142,7249180494.jpg#1r1e,entailment,The man in the black wetsuit is walking out of the water.,a person is walking out of water.,"""Man in the black wetsuit is walking"" implies ""person is walking.""", The *man* *in* *the* *black* *wetsuit* *is* *walking* out of the water., a *person* *is* *walking* out of water.,A man is a person., The *man* in the black wetsuit is walking out of the water., a *person* is walking out of water.,Man in the black wetsuit is a type of person., The *man* *in* *the* *black* *wetsuit* is walking out of the water., a *person* is walking out of water.,"['man', 'in', 'the', 'black', 'wetsuit', 'is', 'walking']","['person', 'is', 'walking']",['man'],['person'],"['man', 'in', 'the', 'black', 'wetsuit']",['person'],classification,3
146,146,4234824441.jpg#2r1e,entailment,Five girls and two guys are crossing a overpass.,There are people outside.,"The fact that these are people is implied by ""girls"" and ""guys"".  An ""overpass"" is used only in context of being outside, referring to a road crossing over another road.  Roads are almost always outside, particularly for this type of interchange.", Five *girls* and two *guys* are crossing a *overpass.*, There are *people* *outside.*,"Five girls and two guys are people, and overpass implies outside.", *Five* *girls* *and* *two* *guys* are crossing a *overpass.*, There are *people* *outside.*,An overpass is found outdoors., Five girls and two guys are crossing a *overpass.*, There are people *outside.*,"['girls', 'guys', 'overpass.']","['people', 'outside.']","['Five', 'girls', 'and', 'two', 'guys', 'overpass.']","['people', 'outside.']",['overpass.'],['outside.'],classification,1
171,171,2245918465.jpg#1r1e,entailment,A man of the cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.,"""Puts something"" is a rephrasing of ""puts a substance.""", A man of the cloth *puts* *a* black *substance* on a man's forehead., The man *puts* *something* on the other mans head.,The man is putting something on the second man's head.  A forehead is part of a person's head., A *man* of the cloth *puts* a black *substance* on a *man's* *forehead.*, The man *puts* *something* on the *other* *mans* *head.*,A black substance is a type of something., A man of the cloth puts a *black* *substance* on a man's forehead., The man puts *something* on the other mans head.,"['puts', 'a', 'substance']","['puts', 'something']","['man', 'puts', 'substance', ""man's"", 'forehead.']","['puts', 'something', 'other', 'mans', 'head.']","['black', 'substance']",['something'],classification,3
210,210,2348557363.jpg#4r1e,entailment,This child is on the library steps.,The child is on the steps.,The steps refer to the library steps., This child is on the library *steps.*, The child is on the *steps.*,Library steps are a type of steps., This child is on the *library* *steps.*, The child is on the *steps.*,Library steps are a form of steps., This child is on the *library* *steps.*, The child is on the *steps.*,['steps.'],['steps.'],"['library', 'steps.']",['steps.'],"['library', 'steps.']",['steps.'],classification,"2,3"
224,224,3544654074.jpg#2r1n,entailment,A newlywed couple laughing and talking amongst themselves.,The couple is having fun.,People who are laughing are having fun., A newlywed couple *laughing* and talking amongst themselves., The couple is having *fun.*,"Newlywed couple is a type of couple, and laughing implies having fun.", A *newlywed* *couple* *laughing* and talking amongst themselves., The *couple* is *having* *fun.*,Newlywed couple laughing and talking by themselves and having fun., A *newlywed* *couple* laughing and *talking* amongst *themselves.*, The *couple* is *having* *fun.*,['laughing'],['fun.'],"['newlywed', 'couple', 'laughing']","['couple', 'having', 'fun.']","['newlywed', 'couple', 'talking', 'themselves.']","['couple', 'having', 'fun.']",classification,2
228,228,4796753895.jpg#1r1e,entailment,A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is moving.,"A black man is moving, walking to work in a big city.", A *black* *man* in a long sleeves white collared shirt and a tie is *walking* *to* *work* in a *big* *city.*, The *man* is *moving.*,"When a man is walking, he is said to be moving.", A black man in a long sleeves white collared shirt and a tie is *walking* to work in a big city., The man is *moving.*,Walking is a form of moving, A black man in a long sleeves white collared shirt and a tie is *walking* to work in a big city., The man is *moving.*,"['black', 'man', 'walking', 'to', 'work', 'big', 'city.']","['man', 'moving.']",['walking'],['moving.'],['walking'],['moving.'],classification,3
258,258,3944497603.jpg#2r1e,entailment,A person in orange clothing rests above a metro entrance.,Someone is standing near a metro station.,Rests above a metro entrance implies near a metro station., A person in orange clothing *rests* *above* *a* *metro* *entrance.*, Someone is standing *near* *a* *metro* *station.*,A person is standing in a metro station and standing still is also a form of rest., A person in orange clothing *rests* above a metro entrance., Someone is *standing* near a metro station.,A person is someone and a person is resting above a metro entrance so someone is near a metro station., A *person* in orange clothing rests above a *metro* *entrance.*, Someone is standing near a metro station.,"['rests', 'above', 'a', 'metro', 'entrance.']","['near', 'a', 'metro', 'station.']",['rests'],['standing'],"['person', 'metro', 'entrance.']",[],classification,2
267,267,6935146937.jpg#0r1e,entailment,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A crowd is watching someone play basketball.,A player is someone while a crowd looks on is watching., A basketball *player* with green shoes is dunking the ball in the net while the arena crowd *looks* *on.*, A crowd is *watching* *someone* play basketball.,"Basketball player is a rephrasing of someone play basketball, and arena crowd is a type of crowd.", A *basketball* *player* with green shoes is dunking the ball in the net while the *arena* *crowd* looks on., A *crowd* is watching *someone* *play* *basketball.*,Sentence 2 simplifies and explains that a crowd is watching basketball., A *basketball* player with green shoes is dunking the ball in the net while the arena *crowd* looks on., A *crowd* is watching someone play *basketball.*,"['player', 'looks', 'on.']","['watching', 'someone']","['basketball', 'player', 'arena', 'crowd']","['crowd', 'someone', 'play', 'basketball.']","['basketball', 'crowd']","['crowd', 'basketball.']",classification,2
298,298,4705094483.jpg#0r1e,entailment,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A man in a shirt, in a commercial kitchen, holding up meat he took out of a bag.",A black shirt is a type of shirt.," A man in a *black* *shirt,* in a commercial kitchen, holding up meat he took out of a bag."," A man in a *shirt,* in a commercial kitchen, holding up meat he took out of a bag.",A black shirt is the same as a shirt.," A man in a *black* *shirt,* in a commercial kitchen, holding up meat he took out of a bag."," A man in a *shirt,* in a commercial kitchen, holding up meat he took out of a bag.","A shirt can be black, but a shirt is not always black."," A man in a *black* *shirt,* in a commercial kitchen, holding up meat he took out of a bag."," A man in a *shirt,* in a commercial kitchen, holding up meat he took out of a bag.","['black', 'shirt']",['shirt'],"['black', 'shirt']",['shirt'],"['black', 'shirt']",['shirt'],classification,1
302,302,4733474874.jpg#0r1n,entailment,Group of people wearing black shirts riding in an open top vehicle.,A group of people go down the road in a convertible.,A convertible is a kind of open top vehicle. Going down the road in a vehicle implies riding in it., Group of people wearing black shirts *riding* in *an* *open* *top* *vehicle.*, A group of people *go* *down* *the* *road* in a *convertible.*,A group of people are riding in a convertible down the road., Group of people wearing black shirts *riding* in an open top vehicle., A *group* of *people* go *down* *the* *road* *in* *a* *convertible.*,"A convertible is an open top vehicle, and it can be inferred that if someone is driving one they would be driving it on the road.", Group of people wearing black shirts *riding* *in* *an* *open* *top* *vehicle.*, A group of people *go* *down* *the* *road* *in* *a* *convertible.*,"['riding', 'an', 'open', 'top', 'vehicle.']","['go', 'down', 'the', 'road', 'convertible.']",['riding'],"['group', 'people', 'down', 'the', 'road', 'in', 'a', 'convertible.']","['riding', 'in', 'an', 'open', 'top', 'vehicle.']","['go', 'down', 'the', 'road', 'in', 'a', 'convertible.']",classification,1
340,340,6338544926.jpg#1r1e,entailment,Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,American Football is a form of football. Two people playing American Football implies that a game of football is being played., Two *people* *are* *playing* American *Football* and one of them is trying to stop the other from throwing the ball., A game of *football* is *being* *played.*,"American Football is a type of football, and playing implies a game.", Two people are *playing* *American* *Football* and one of them is trying to stop the other from throwing the ball., A *game* of *football* is being played.,"""Playing American Football"" is a rephrasing of ""a game of football is being played"".", Two people are *playing* *American* *Football* and one of them is trying to stop the other from throwing the ball., A *game* of *football* is being *played.*,"['people', 'are', 'playing', 'Football']","['football', 'being', 'played.']","['playing', 'American', 'Football']","['game', 'football']","['playing', 'American', 'Football']","['game', 'football', 'played.']",classification,"1,2"
351,351,2483666380.jpg#2r1e,entailment,A woman is weaving with a comb in her hand.,A woman is doing something with her hands.,Weaving with a comb in one's hand is an example of doing something with one's hands., A woman is *weaving* *with* *a* *comb* *in* *her* *hand.*, A woman is *doing* *something* *with* *her* *hands.*,Weaving is a form of doing something., A woman is *weaving* with a comb in her hand., A woman is *doing* *something* with her hands.,The woman is weaving with her hands., A woman is *weaving* with a comb in her hand., A woman is doing something *with* *her* *hands.*,"['weaving', 'with', 'a', 'comb', 'in', 'her', 'hand.']","['doing', 'something', 'with', 'her', 'hands.']",['weaving'],"['doing', 'something']",['weaving'],"['with', 'her', 'hands.']",classification,2
402,402,4000148666.jpg#0r1e,entailment,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys kicking around a soccer ball.,Young boys (in green and blue jerseys) kicking around a soccer ball is part of the whole description of soccer game., *Young* *boys* in green and blue jerseys kick around a soccer ball while other soccer games take place in the background., *Young* *boys* *kicking* around a *soccer* *ball.*,Kicking around a soccer ball is a rephrasing of kick around a soccer ball., Young boys in green and blue jerseys *kick* *around* *a* *soccer* *ball* while other soccer games take place in the background., Young boys *kicking* *around* *a* *soccer* *ball.*,"Young boys in green and blue jerseys are a type of young boys, and kicking around is a paraphrase of kick around.", *Young* *boys* *in* *green* *and* *blue* *jerseys* *kick* *around* a soccer ball while other soccer games take place in the background., *Young* *boys* *kicking* *around* a soccer ball.,"['Young', 'boys']","['Young', 'boys', 'kicking', 'soccer', 'ball.']","['kick', 'around', 'a', 'soccer', 'ball']","['kicking', 'around', 'a', 'soccer', 'ball.']","['Young', 'boys', 'in', 'green', 'and', 'blue', 'jerseys', 'kick', 'around']","['Young', 'boys', 'kicking', 'around']",classification,3
420,420,4525101035.jpg#0r1e,entailment,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,The man spreads his arms while standing in front of a railing.,Young man is a type of man., A *young* *man* in a heavy brown winter coat stands in front of a blue railing with his arms spread., The *man* spreads his arms while standing in front of a railing.,with his arms spread is rephrased as spreads his arms., A young man in a heavy brown winter coat stands in front of a blue railing *with* *his* *arms* *spread.*, The man *spreads* *his* *arms* while standing in front of a railing.,The man spreads his arms in front of a railing. The fact that his coat is brown and the railing is blue has no effect on his activities., A young *man* in a heavy brown winter coat stands in *front* *of* a blue *railing* with his *arms* *spread.*, The *man* *spreads* his *arms* while standing in *front* *of* a *railing.*,"['young', 'man']",['man'],"['with', 'his', 'arms', 'spread.']","['spreads', 'his', 'arms']","['man', 'front', 'of', 'railing', 'arms', 'spread.']","['man', 'spreads', 'arms', 'front', 'of', 'railing.']",classification,1
423,423,4525101035.jpg#3r1e,entailment,A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket while holding a comb.,The comb is pink., A black man wearing a down jacket with his arms spread and holding a *pink* comb., A man was wearing a jacket while holding a *comb.*,A man is seen wearing a jacket and holding a comb., A black man *wearing* a down *jacket* with his arms spread and *holding* a pink *comb.*, A man was *wearing* a *jacket* while *holding* a *comb.*,"Black man is a man, and down jacket is a type of jacket.", A *black* *man* wearing a *down* *jacket* with his arms spread and holding a pink comb., A *man* was wearing a *jacket* while holding a comb.,['pink'],['comb.'],"['wearing', 'jacket', 'holding', 'comb.']","['wearing', 'jacket', 'holding', 'comb.']","['black', 'man', 'down', 'jacket']","['man', 'jacket']",classification,3
433,433,4923272200.jpg#0r1e,entailment,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is playing an instrument on the street near other people.,"Saxophone is a type of instrument, and some people by the man shows the man is near other people.", A man is playing the *saxophone* in the street and *some* *people* are sitting on the curb next to the street by him., A man is playing an *instrument* on the street *near* *other* *people.*,"The saxophone is an instrument, and if people are sitting by the man playing it, the man is near those people.", A man is playing the *saxophone* in the street and some *people* *are* *sitting* on the curb next to the street *by* *him.*, A man is playing an *instrument* on the street *near* *other* *people.*,People were sitting near to him is implied as they were people on the curb next to street by him, A man is playing the saxophone in the street and *some* *people* are *sitting* *on* the *curb* *next* to the street by him., A man is playing an instrument on the street *near* *other* *people.*,"['saxophone', 'some', 'people']","['instrument', 'near', 'other', 'people.']","['saxophone', 'people', 'are', 'sitting', 'by', 'him.']","['instrument', 'near', 'other', 'people.']","['some', 'people', 'sitting', 'on', 'curb', 'next']","['near', 'other', 'people.']",classification,1
454,454,4731413904.jpg#1r1e,entailment,Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,Answer: TV is the short form of television, Several men at a bar watch a sports game on the *television.*, Some men are watching *TV* at a bar.,Some or several both imply that there is more than one man. And the men are watching TV at a bar., *Several* *men* *at* *a* *bar* *watch* a sports game on the *television.*, *Some* *men* are *watching* *TV* at a *bar.*,A TV in a bar displays all kinds of channels including sports channel., Several men at a *bar* watch a *sports* *game* on the television., Some men are watching *TV* at a *bar.*,['television.'],['TV'],"['Several', 'men', 'at', 'a', 'bar', 'watch', 'television.']","['Some', 'men', 'watching', 'TV', 'bar.']","['bar', 'sports', 'game']","['TV', 'bar.']",classification,1
465,465,2412152032.jpg#1r1e,entailment,Children in yellow sports uniforms climbing a tower.,Children in uniforms climb a tower.,Yellow sports uniforms are a form of uniforms., Children in *yellow* *sports* *uniforms* climbing a tower., Children in *uniforms* climb a tower.,Children in yellow sports uniforms are a type of children in uniforms., *Children* *in* *yellow* *sports* *uniforms* climbing a tower., *Children* *in* *uniforms* climb a tower.,Children in yellow sports uniforms means in uniforms as they climb a tower., *Children* in yellow sports *uniforms* *climbing* a tower., *Children* in *uniforms* *climb* a tower.,"['yellow', 'sports', 'uniforms']",['uniforms'],"['Children', 'in', 'yellow', 'sports', 'uniforms']","['Children', 'in', 'uniforms']","['Children', 'uniforms', 'climbing']","['Children', 'uniforms', 'climb']",classification,"1,2"
484,484,4621091937.jpg#3r1e,entailment,Men sitting on the side of a brick road.,me are sitting on the side of a road,A brick road is a form of road., Men sitting on the side of *a* *brick* *road.*, me are sitting on the side of a *road*,Men sitting on the side of a brick road is the same as men who are sitting on the side of a road. The type of road is not relevant., *Men* *sitting* on the *side* *of* a *brick* *road.*, *me* *are* *sitting* *on* *the* *side* *of* *a* *road*,The road was look like in brick road., Men sitting on the side of a *brick* *road.*, me are sitting on the side of a *road*,"['a', 'brick', 'road.']",['road'],"['Men', 'sitting', 'side', 'of', 'brick', 'road.']","['me', 'are', 'sitting', 'on', 'the', 'side', 'of', 'a', 'road']","['brick', 'road.']",['road'],classification,"1,2"
490,490,3696184025.jpg#1r1e,entailment,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,A girl is standing.,The girl who is standing is young with a bright outfit while biting a toy., A young *girl* in a yellow top and a flowered skirt is *standing* on a blanket and biting on a toy., A *girl* is *standing.*,"Young girl is a girl, and standing on a blanket is a type of standing.", A *young* *girl* in a yellow top and a flowered skirt is *standing* *on* *a* *blanket* and biting on a toy., A *girl* is *standing.*,"If the girl is standing on a blanket, she is standing.", A young girl in a yellow top and a flowered skirt is *standing* *on* a *blanket* and biting on a toy., A *girl* is *standing.*,"['girl', 'standing']","['girl', 'standing.']","['young', 'girl', 'standing', 'on', 'a', 'blanket']","['girl', 'standing.']","['standing', 'on', 'blanket']","['girl', 'standing.']",classification,2
527,527,42397423.jpg#2r1e,entailment,A young boy walks on a pipe that stretches over water.,A boy is walking outside.,A boy walks on a pipe over water so a boy must be walking outside., A young boy *walks* *on* *a* *pipe* that stretches *over* *water.*, A boy is *walking* *outside.*,"Young boy is a type of boy, and over water implies outside.", A *young* *boy* walks on a pipe that stretches *over* *water.*, A *boy* is walking *outside.*,pipe that stretches over water so he should be outside., A young boy walks on a *pipe* *that* *stretches* *over* *water.*, A boy is walking outside.,"['walks', 'on', 'a', 'pipe', 'over', 'water.']","['walking', 'outside.']","['young', 'boy', 'over', 'water.']","['boy', 'outside.']","['pipe', 'that', 'stretches', 'over', 'water.']",[],classification,2
531,531,42397423.jpg#0r1e,entailment,A young boy in green shorts balances on a pipe above a river.,A person balancing.,"A young boy is a person, and one who balances on a pipe is balancing.", A *young* *boy* in green shorts *balances* *on* *a* *pipe* above a river., A *person* *balancing.*,A young boy is a person. A boy that balances himself on a pipe is doing an act of balancing., A *young* *boy* in green shorts *balances* *on* *a* *pipe* above a river., A *person* *balancing.*,"Young boy is person, and balances on a pipe is a form of balancing.", A *young* *boy* in green shorts *balances* *on* *a* *pipe* above a river., A *person* *balancing.*,"['young', 'boy', 'balances', 'on', 'a', 'pipe']","['person', 'balancing.']","['young', 'boy', 'balances', 'on', 'a', 'pipe']","['person', 'balancing.']","['young', 'boy', 'balances', 'on', 'a', 'pipe']","['person', 'balancing.']",classification,3
532,532,4626556918.jpg#2r1e,entailment,A young man waring black and carrying a skateboard looks at an outdoor skateboard park.,A guy with a skateboard is looking at a park to skateboard.,"A man is a type of guy; he is carrying a skateboard, so a skateboard is with him; a skateboard park is a park in which to skate, and the thing he's carrying indicates that's what he wants to skate with.", A young *man* waring black and *carrying* a skateboard looks at an outdoor *skateboard* *park.*, A *guy* *with* a skateboard is looking at a *park* *to* *skateboard.*,"A young man and a guy are equivalent, carrying a skateboard means with a skateboard, looks at a park to skateboard (outdoor skateboard park).", A *young* *man* waring black and carrying a skateboard looks at an outdoor *skateboard* *park.*, A *guy* with a skateboard is *looking* *at* a *park* to *skateboard.*,A man carrying a skateboard implies that it is a guy with a skateboard., *A* young *man* waring black and *carrying* *a* *skateboard* looks at an outdoor skateboard park., *A* *guy* *with* *a* *skateboard* is looking at a park to skateboard.,"['man', 'carrying', 'skateboard', 'park.']","['guy', 'with', 'park', 'to', 'skateboard.']","['young', 'man', 'skateboard', 'park.']","['guy', 'looking', 'at', 'park', 'skateboard.']","['A', 'man', 'carrying', 'a', 'skateboard']","['A', 'guy', 'with', 'a', 'skateboard']",classification,1
551,551,4696008531.jpg#2r1e,entailment,The man in the black t-shirt is trying to throw something.,The man is in a black shirt.,Black t-shirt is a black shirt., The man in the *black* *t-shirt* is trying to throw something., The man is in a *black* *shirt.*,Black t-shirt is a type of black shirt., The man in the *black* *t-shirt* is trying to throw something., The man is in a *black* *shirt.*,The man is in a black shirt refers to the man in the black t-shirt., The man in the *black* *t-shirt* is trying to throw something., The man is in a *black* *shirt.*,"['black', 't-shirt']","['black', 'shirt.']","['black', 't-shirt']","['black', 'shirt.']","['black', 't-shirt']","['black', 'shirt.']",classification,2
