,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
563,563,3960632488.jpg#0r1e,entailment,A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds.,There are many clouds in the blue sky.,Tumultuous clouds are a form of clouds., A man and a woman sit on a deck under a blue sky that is about to be overtaken by *tumultuous* *clouds.*, There are many *clouds* in the blue sky.,tumultuous implies loud noise. so many clouds in the sky make loud noise., A man and a woman sit on a deck under a blue sky that is about to be overtaken by *tumultuous* *clouds.*, There are *many* *clouds* in the blue sky.,If a blue sky is about to overtaken by tumultuous clouds then as the clouds move there are many clouds in the blue sky., A man and a woman sit on a deck under a *blue* *sky* that *is* *about* *to* *be* *overtaken* *by* *tumultuous* *clouds.*, *There* *are* *many* *clouds* *in* *the* *blue* *sky.*,['tumultuous clouds'],['clouds'],['tumultuous clouds'],['many clouds'],"['blue sky', 'is about to be overtaken by tumultuous clouds']",['There are many clouds in the blue sky'],classification
565,565,3741664817.jpg#0r1e,entailment,"Two women stand on a beach and perform stretches or yoga together, facing towards the water and away from the camera.",Two people are exercising outside.,Yoga implies exercising.," Two women stand on a beach and perform stretches or *yoga* together, facing towards the water and away from the camera.", Two people are *exercising* outside.,"Two women are two people, and yoga implies exercising."," *Two* *women* stand on a beach and perform stretches or *yoga* together, facing towards the water and away from the camera.", *Two* *people* are *exercising* outside.,yoga is a form of exercising," Two women stand on a beach and perform stretches or *yoga* together, facing towards the water and away from the camera.", Two people are *exercising* outside.,['yoga'],['exercising'],"['Two women', 'yoga']","['Two people', 'exercising']",['yoga'],['exercising'],classification
574,574,4742826670.jpg#3r1e,entailment,"A black man, wearing a cap, is sitting in a bus.",A man is traveling on public transportation.,A bus is a form of public transportation.," A black man, wearing a cap, is sitting in a *bus.*", A man is traveling on *public* *transportation.*,A man sitting in a bus is traveling on a public transportation.," A black man, wearing a cap, is *sitting* *in* *a* *bus.*", A man is *traveling* on *public* *transportation.*,"Black man is a man, and bus is a form of public transportation."," A *black* *man,* wearing a cap, is sitting in a *bus.*", A *man* is traveling on *public* *transportation.*,['bus'],['public transportation'],['sitting in a bus'],"['traveling', 'public transportation']","['black man', 'bus']","['man', 'public transportation']",classification
588,588,3958553026.jpg#1r1e,entailment,A boy walking away from two Camden tents with a group of people behind him.,A person walking away from a tent,A boy and a person walking away from Camden tents with a group of people behind him, *A* *boy* walking away from *two* *Camden* *tents* with a group of people behind him., A *person* walking away from a tent,A Person is general form a boy, *A* *boy* walking away from two Camden tents with a group of people behind him., *A* *person* walking away from a tent,A boy is a person. Camden tents are a type of tent., A *boy* walking away from two *Camden* *tents* with a group of people behind him., A *person* walking away from a *tent*,"['A boy', 'two Camden tents']",['person'],['A boy'],['A person'],"['boy', 'Camden tents']","['person', 'tent']",classification
610,610,1509542787.jpg#3r1e,entailment,People on a concrete area taking pictures.,people take pictures,People taking pictures is another way of saying people take pictures., *People* on a concrete area *taking* *pictures.*, *people* *take* *pictures*,"In this case, taking pictures is a rephrasing of take pictures.", People on a concrete area *taking* *pictures.*, people *take* *pictures*,people taking pictures is other form of people take pictures, *People* on a concrete area *taking* *pictures.*, *people* *take* *pictures*,"['People', 'taking pictures']",['people take pictures'],['taking pictures'],['take pictures'],"['People', 'taking pictures']",['people take pictures'],classification
648,648,4474429098.jpg#2r1e,entailment,A girl is using an apple laptop with her headphones in her ears.,with headphones on the girl used a computer,An apple laptop is a computer., A girl is using an *apple* *laptop* with her headphones in her ears., with headphones on the girl used a *computer*,computer is a more general rephrasing of apple laptop., A girl is using an *apple* *laptop* with her headphones in her ears., with headphones on the girl used a *computer*,Apple laptop specifies the kind of computer., A girl is using an *apple* *laptop* with her headphones in her ears., with headphones on the girl used a *computer*,['apple laptop'],['computer'],['apple laptop'],['computer'],['apple laptop'],['computer'],classification
754,754,4696903210.jpg#1r1n,entailment,"A well built black man stands in the subway, listening to headphones.",A man listens to music while waiting for the train.,A well built black man is listening to music via headphones in the subway," A *well* *built* *black* *man* stands in the *subway,* *listening* *to* *headphones.*", *A* man listens to *music* while waiting for the train.,"Well built black man is a type of man, and listening to headphones implies listens to music."," A *well* *built* *black* *man* stands in the subway, *listening* *to* *headphones.*", A *man* *listens* *to* *music* while waiting for the train.,A black man is a man.," A *well* *built* *black* *man* stands in the subway, listening to headphones.", A *man* listens to music while waiting for the train.,"['well built black man', 'subway listening to headphones']","['A', 'music']","['well built black man', 'listening to headphones']",['man listens to music'],['well built black man'],['man'],classification
767,767,110637863.jpg#4r1n,entailment,Rugby player lifted to attempt a score against a red team defending.,sports team attempts to score,A rugby player is part of a sports team., *Rugby* *player* lifted to attempt a score against a red team defending., *sports* *team* attempts to score,"Red team is a type of sports team, and attempt a score is a rephrasing of attempts to score.", Rugby player lifted to *attempt* *a* *score* against a *red* *team* defending., *sports* *team* *attempts* *to* *score*,A rugby player is part of a sports team., *Rugby* *player* lifted to attempt a score against a red team defending., *sports* *team* attempts to score,['Rugby player'],['sports team'],"['attempt a score', 'red team']",['sports team attempts to score'],['Rugby player'],['sports team'],classification
772,772,4474806698.jpg#2r1e,entailment,A woman wearing a white baseball cap purple coat holding a poster.,A woman with a hat holding a poster.,a cap is a hat, A woman wearing a white baseball *cap* purple coat holding a poster., A woman with a *hat* holding a poster.,a baseball cap is a type of hat., A woman wearing a white *baseball* *cap* purple coat holding a poster., A woman with a *hat* holding a poster.,The woman is holding the poster regardless of her coat and hat color., A woman wearing a white baseball cap purple coat *holding* a poster., A woman with a hat *holding* a poster.,['cap'],['hat'],['baseball cap'],['hat'],['holding'],['holding'],classification
777,777,4876043682.jpg#2r1e,entailment,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,Boy matches boy and a camel is a animal, A *boy* rides on a *camel* in a crowded area while talking on his cellphone., A *boy* is riding an *animal.*,A camel is a type of animal., A boy rides on a *camel* in a crowded area while talking on his cellphone., A boy is riding an *animal.*,Camel is an animal., A boy rides on a *camel* in a crowded area while talking on his cellphone., A boy is riding an *animal.*,"['boy', 'camel']","['boy', 'animal']",['camel'],['animal'],['camel'],['animal'],classification
789,789,3226796100.jpg#1r1e,entailment,A young girl wearing a pink coat plays with a yellow toy golf club.,A girl is playing.,A toy golf club is a fun toy for a child to be playing with., A young girl wearing a pink coat plays with a *yellow* *toy* *golf* *club.*, A girl is *playing.*,Young girl wearing a pink coat is a type of girl., A *young* *girl* *wearing* *a* *pink* *coat* plays with a yellow toy golf club., A *girl* is playing.,A girl playing is part of her description wearing a pink coat., A *young* *girl* wearing a pink coat *plays* with a yellow toy golf club., A *girl* is *playing.*,['yellow toy golf club'],['playing'],['young girl wearing a pink coat'],['girl'],"['young girl', 'plays']","['girl', 'playing']",classification
796,796,558338473.jpg#4r1e,entailment,Two men dressed in black practicing martial arts on a gym floor.,Two men are doing martial arts.,Doing martial arts is a form of practicing martial arts., Two men dressed in black *practicing* *martial* *arts* on a gym floor., Two men are *doing* *martial* *arts.*,Men practicing martial arts are doing martial arts., Two men dressed in black *practicing* *martial* *arts* on a gym floor., Two men are *doing* *martial* *arts.*,To practice martial arts it takes two men., *Two* *men* dressed in black practicing *martial* *arts* on a gym floor., *Two* *men* are doing *martial* *arts.*,['practicing martial arts'],['doing martial arts'],['practicing martial arts'],['doing martial arts'],"['Two men', 'martial arts']","['Two men', 'martial arts']",classification
811,811,3220090772.jpg#0r1e,entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass.,a woman holds a glass,Brunette holding a wineglass shows that a woman holds a glass., A *brunette* woman in a multicolored floral outfit and a pearl necklace is talking while *holding* *a* *wineglass.*, *a* *woman* *holds* *a* *glass*,A wineglass is a type of glass., A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a *wineglass.*, a woman holds a *glass*,A wineglass is a type of glass., A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a *wineglass.*, a woman holds a *glass*,"['brunette', 'holding a wineglass']",['a woman holds a glass'],['wineglass'],['glass'],['wineglass'],['glass'],classification
